doc_id,vector_species,country,study_site,vector_control_method,biting_location,resting_location,disease,year,author,study_title,latitude,longitude,reported_insecticide_resistance_type
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: itns,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: namwawala village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: namwawala village,concept2: itns,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: namwawala village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: namwawala village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: namwawala village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: namwawala village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
8419a14e-c500-4ba5-accd-c5514147facd,concept1: an. funestus,,concept1: idete village,concept2: irs,concept2: indoors,concept2: indoors,concept2: malaria,,,,concept2: 8.1°s,concept2: 36.6°e,concept2: widespread increase
