,doc_id,vector_species,country,study_site,vector_control_method,biting_location,resting_location,disease,year,author,study_title,latitude,longitude,reported_insecticide_resistance,reported_insecticide_resistance_type
94,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,llins long-lasting insecticidal nets,indoor,indoor,malaria,2019,leon m.j. mugenzi,cis-regulatory cyp6p9b p450 variants associated with loss of insecticide-treated bed net efficacy against anopheles funestus,16.0,34.0,pyrethroid resistance,metabolic resistance
95,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,llins long-lasting insecticidal nets,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,16.0,34.0,pyrethroid resistance,metabolic resistance
96,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,indoor residual spraying,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,0.0,34.0,pyrethroid resistance,kdr
97,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,indoor residual spraying,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,0.0,34.0,pyrethroid resistance,kdr
98,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,llins,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,6.0,11.0,pyrethroid resistance,kdr
99,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,llins,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,6.0,11.0,pyrethroid resistance,kdr
100,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,obuasi ghana,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
101,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
102,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
103,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
104,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
105,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
106,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
107,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,obuasi ghana,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
108,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,obuasi ghana,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
109,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
110,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
111,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
112,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,chikwawa malawi,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
113,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
114,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
115,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
116,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,tororo uganda,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
117,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
118,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
119,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
120,e897cb68-7c94-4164-b7dd-2aac1fa14185,an. funestus,,mibellon cameroon,insecticides,indoor,indoor,malaria,2019,leon m.j. mugenzi,study,5.0,1.0,pyrethroid resistance,kdr
